django.utils.autoreload INFO 2024-05-19 18:46:08,667 autoreload 26960 13144 Watching for file changes with StatReloader
faker.factory DEBUG 2024-05-19 18:46:08,818 factory 26960 13144 Not in REPL -> leaving logger event level as is.
faker.factory DEBUG 2024-05-19 18:46:08,820 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.address`.
faker.factory DEBUG 2024-05-19 18:46:08,824 factory 26960 13144 Provider `faker.providers.address` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,827 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.automotive`.
faker.factory DEBUG 2024-05-19 18:46:08,830 factory 26960 13144 Provider `faker.providers.automotive` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,832 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.bank`.
faker.factory DEBUG 2024-05-19 18:46:08,833 factory 26960 13144 Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,834 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.barcode`.
faker.factory DEBUG 2024-05-19 18:46:08,834 factory 26960 13144 Provider `faker.providers.barcode` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,835 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.color`.
faker.factory DEBUG 2024-05-19 18:46:08,837 factory 26960 13144 Provider `faker.providers.color` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,838 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.company`.
faker.factory DEBUG 2024-05-19 18:46:08,841 factory 26960 13144 Provider `faker.providers.company` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,841 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.credit_card`.
faker.factory DEBUG 2024-05-19 18:46:08,841 factory 26960 13144 Provider `faker.providers.credit_card` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,843 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.currency`.
faker.factory DEBUG 2024-05-19 18:46:08,845 factory 26960 13144 Provider `faker.providers.currency` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,846 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.date_time`.
faker.factory DEBUG 2024-05-19 18:46:08,849 factory 26960 13144 Provider `faker.providers.date_time` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,849 factory 26960 13144 Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,849 factory 26960 13144 Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,849 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.geo`.
faker.factory DEBUG 2024-05-19 18:46:08,851 factory 26960 13144 Provider `faker.providers.geo` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,852 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.internet`.
faker.factory DEBUG 2024-05-19 18:46:08,854 factory 26960 13144 Provider `faker.providers.internet` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,855 factory 26960 13144 Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,856 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.job`.
faker.factory DEBUG 2024-05-19 18:46:08,859 factory 26960 13144 Provider `faker.providers.job` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,861 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.lorem`.
faker.factory DEBUG 2024-05-19 18:46:08,864 factory 26960 13144 Provider `faker.providers.lorem` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,865 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.misc`.
faker.factory DEBUG 2024-05-19 18:46:08,866 factory 26960 13144 Provider `faker.providers.misc` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,867 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.passport`.
faker.factory DEBUG 2024-05-19 18:46:08,867 factory 26960 13144 Provider `faker.providers.passport` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,868 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.person`.
faker.factory DEBUG 2024-05-19 18:46:08,873 factory 26960 13144 Provider `faker.providers.person` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,876 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.phone_number`.
faker.factory DEBUG 2024-05-19 18:46:08,880 factory 26960 13144 Provider `faker.providers.phone_number` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,880 factory 26960 13144 Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,880 factory 26960 13144 Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,880 factory 26960 13144 Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:08,880 factory 26960 13144 Looking for locale `en_US` in provider `faker.providers.ssn`.
faker.factory DEBUG 2024-05-19 18:46:08,883 factory 26960 13144 Provider `faker.providers.ssn` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:08,886 factory 26960 13144 Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
django.utils.autoreload INFO 2024-05-19 18:46:23,144 autoreload 26960 13144 D:\learning\microservice\minpro-microservice\services\management-user\apps\apps\settings.py changed, reloading.
django.utils.autoreload INFO 2024-05-19 18:46:24,568 autoreload 29440 25832 Watching for file changes with StatReloader
faker.factory DEBUG 2024-05-19 18:46:24,715 factory 29440 25832 Not in REPL -> leaving logger event level as is.
faker.factory DEBUG 2024-05-19 18:46:24,716 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.address`.
faker.factory DEBUG 2024-05-19 18:46:24,719 factory 29440 25832 Provider `faker.providers.address` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,721 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.automotive`.
faker.factory DEBUG 2024-05-19 18:46:24,725 factory 29440 25832 Provider `faker.providers.automotive` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,726 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.bank`.
faker.factory DEBUG 2024-05-19 18:46:24,729 factory 29440 25832 Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,730 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.barcode`.
faker.factory DEBUG 2024-05-19 18:46:24,731 factory 29440 25832 Provider `faker.providers.barcode` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,733 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.color`.
faker.factory DEBUG 2024-05-19 18:46:24,734 factory 29440 25832 Provider `faker.providers.color` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,735 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.company`.
faker.factory DEBUG 2024-05-19 18:46:24,738 factory 29440 25832 Provider `faker.providers.company` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,739 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.credit_card`.
faker.factory DEBUG 2024-05-19 18:46:24,739 factory 29440 25832 Provider `faker.providers.credit_card` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,740 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.currency`.
faker.factory DEBUG 2024-05-19 18:46:24,742 factory 29440 25832 Provider `faker.providers.currency` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,743 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.date_time`.
faker.factory DEBUG 2024-05-19 18:46:24,751 factory 29440 25832 Provider `faker.providers.date_time` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,752 factory 29440 25832 Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,753 factory 29440 25832 Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,753 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.geo`.
faker.factory DEBUG 2024-05-19 18:46:24,753 factory 29440 25832 Provider `faker.providers.geo` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,754 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.internet`.
faker.factory DEBUG 2024-05-19 18:46:24,758 factory 29440 25832 Provider `faker.providers.internet` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,758 factory 29440 25832 Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,758 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.job`.
faker.factory DEBUG 2024-05-19 18:46:24,761 factory 29440 25832 Provider `faker.providers.job` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,761 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.lorem`.
faker.factory DEBUG 2024-05-19 18:46:24,763 factory 29440 25832 Provider `faker.providers.lorem` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,764 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.misc`.
faker.factory DEBUG 2024-05-19 18:46:24,765 factory 29440 25832 Provider `faker.providers.misc` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,766 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.passport`.
faker.factory DEBUG 2024-05-19 18:46:24,766 factory 29440 25832 Provider `faker.providers.passport` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,767 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.person`.
faker.factory DEBUG 2024-05-19 18:46:24,771 factory 29440 25832 Provider `faker.providers.person` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,774 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.phone_number`.
faker.factory DEBUG 2024-05-19 18:46:24,777 factory 29440 25832 Provider `faker.providers.phone_number` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,779 factory 29440 25832 Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,779 factory 29440 25832 Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,779 factory 29440 25832 Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:46:24,779 factory 29440 25832 Looking for locale `en_US` in provider `faker.providers.ssn`.
faker.factory DEBUG 2024-05-19 18:46:24,782 factory 29440 25832 Provider `faker.providers.ssn` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:46:24,783 factory 29440 25832 Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
urllib3.connectionpool DEBUG 2024-05-19 18:51:00,900 connectionpool 9348 20928 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:51:00,913 connectionpool 9348 20928 http://127.0.0.1:8001 "GET /consumers/fhayes1 HTTP/1.1" 404 23
urllib3.connectionpool DEBUG 2024-05-19 18:51:00,916 connectionpool 9348 20928 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:51:00,926 connectionpool 9348 20928 http://127.0.0.1:8001 "POST /consumers HTTP/1.1" 409 147
man_user.function.kong.consumer ERROR 2024-05-19 18:51:00,927 consumer 9348 20928 [kong api] {"status": false, "data": {"name": "unique constraint violation", "fields": {"custom_id": "fhayes1"}, "code": 5, "message": "UNIQUE violation detected on '{custom_id=\"fhayes1\"}'"}}
urllib3.connectionpool DEBUG 2024-05-19 18:52:14,502 connectionpool 9348 20928 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:52:14,513 connectionpool 9348 20928 http://127.0.0.1:8001 "GET /consumers/fhayesa HTTP/1.1" 404 23
urllib3.connectionpool DEBUG 2024-05-19 18:52:14,515 connectionpool 9348 20928 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:52:14,527 connectionpool 9348 20928 http://127.0.0.1:8001 "POST /consumers HTTP/1.1" 201 155
django.utils.autoreload INFO 2024-05-19 18:53:05,377 autoreload 29440 25832 D:\learning\microservice\minpro-microservice\services\management-user\apps\apps\settings.py changed, reloading.
faker.factory DEBUG 2024-05-19 18:53:07,105 factory 29604 28544 Not in REPL -> leaving logger event level as is.
faker.factory DEBUG 2024-05-19 18:53:07,107 factory 29604 28544 Looking for locale `en_US` in provider `faker.providers.address`.
faker.factory DEBUG 2024-05-19 18:53:07,110 factory 29604 28544 Provider `faker.providers.address` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:53:07,112 factory 29604 28544 Looking for locale `en_US` in provider `faker.providers.automotive`.
faker.factory DEBUG 2024-05-19 18:53:07,116 factory 29604 28544 Provider `faker.providers.automotive` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:53:07,118 factory 29604 28544 Looking for locale `en_US` in provider `faker.providers.bank`.
faker.factory DEBUG 2024-05-19 18:53:07,120 factory 29604 28544 Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
faker.factory DEBUG 2024-05-19 18:53:07,121 factory 29604 28544 Looking for locale `en_US` in provider `faker.providers.barcode`.
faker.factory DEBUG 2024-05-19 18:53:07,121 factory 29604 28544 Provider `faker.providers.barcode` has been localized to `en_US`.
